latitude;longitude;penggunaan_bbm;tingkat_kemacetan;risiko_pengiriman
40.375.568.475.194.900;-770.143.177.425.258;5.136.511.864.928.780;5.927.585.801.443.970;11.821.159.890.280.700
3.350.781.833.905.290;-11.703.690.240.506.400;5.101.511.530.652.880;15.919.921.912.280.300;961.198.830.435.769
30.020.639.789.030.900;-752.692.240.366.282;5.090.802.620.415.410;8.787.765.349.367.670;6.570.431.288.350.110
36.649.222.512.758.900;-7.019.052.930.366.370;8.219.557.503.166.250;0.04525714813036494;0.5489520412771786
30.001.279.284.395.600;-7.001.219.476.429.300;5.000.074.881.555.600;8.004.850.904.938.760;8.861.442.874.133.280
4.786.454.911.456.330;-11.999.838.573.033.100;55.335.627.344.497.800;0.499404950861028;9.492.603.161.323.120
33.846.390.383.525.300;-9.594.011.785.615.000;57.798.036.469.596;875.050.112.309.533;9.870.429.787.132.010
3.260.188.466.055.960;-10.231.663.498.426.700;5.474.694.572.560.360;4.813.078.276.582.030;29.542.163.135.156.300
39.787.194.154.012.000;-9.089.791.849.265.040;56.806.073.367.087.800;9.613.160.806.316.960;71.588.677.455.367.500
4.772.849.910.534.190;-1.134.135.606.333.510;50.884.254.032.689.600;9.897.407.371.409.670;35.870.667.765.107.300
3.394.773.092.430.350;-8.951.334.721.827.640;6.601.943.048.707.980;845.179.936.342.319;14.722.118.208.465.300
3.347.381.274.417.190;-7.000.060.314.177.370;5.015.169.129.652.220;0.25411774246925656;9.999.746.614.749.670
31.024.235.808.835.800;-7.412.216.231.508.140;919.099.297.535.746;11.143.599.965.680.100;8.416.565.264.382.330
4.956.525.250.007.750;-8.384.753.498.939.380;5.378.060.081.697.070;6.229.264.832.333.590;9.907.506.629.835.400
4.691.671.774.035.140;-7.880.056.146.752.310;7.665.823.359.601.540;9.195.519.372.601.980;33.904.787.085.846.800
30.023.531.007.388.600;-11.354.466.679.773.800;1.261.792.720.287.090;889.658.905.757.381;8.988.752.766.786.300
442.400.189.572.146;-7.848.705.927.334.250;5.138.370.246.170.620;5.372.658.280.153.340;9.999.335.436.695.320
4.206.526.903.478.440;-10.054.195.462.689.700;6.001.007.237.835.070;14.729.319.947.513.400;4.986.957.496.279.310
30.330.196.530.012.800;-7.000.096.007.936.030;5.000.000.445.312.810;1.450.323.446.835.200;9.720.374.520.730.000
30.005.137.564.373.900;-9.451.323.203.266.280;19.467.031.728.841.300;9.405.083.671.823.270;8.035.103.684.776.520
